vintage,ticker
2015-01-01,ETN
2015-01-01,ETR
2015-01-01,EW
2015-01-01,EXC
2015-01-01,EXPD
2015-01-01,EXPE
2015-01-01,F
2015-01-01,FAST
2015-01-01,FCX
2015-01-01,FDO
2015-01-01,FDX
2015-01-01,FE
2015-01-01,FFIV
2015-01-01,FIS
2015-01-01,FISV
2015-01-01,FITB
2015-01-01,FLIR
2015-01-01,FLR
2015-01-01,FLS
2015-01-01,FMC
2015-01-01,FOSL
2015-01-01,FOXA
2015-01-01,FSLR
2015-01-01,FTI
2015-01-01,FTR
2015-01-01,GAS
2015-01-01,GD
2015-01-01,GE
2015-01-01,GEN
2015-01-01,GGP
2015-01-01,GILD
2015-01-01,GIS
2015-01-01,GL
2015-01-01,GLW
2015-01-01,GM
2015-01-01,GMCR
2015-01-01,GME
2015-01-01,GNW
2015-01-01,GOOG
2015-01-01,GOOGL
2015-01-01,GPC
2015-01-01,GPS
2015-01-01,GRMN
2015-01-01,GS
2015-01-01,GT
2015-01-01,GWW
2015-01-01,HAL
2015-01-01,HAR
2015-01-01,HAS
2015-01-01,HBAN
2015-01-01,HCBK
2015-01-01,HD
2015-01-01,HES
2015-01-01,HIG
2015-01-01,HOG
2015-01-01,HON
2015-01-01,HOT
2015-01-01,HP
2015-01-01,HPQ
2015-01-01,HRB
2015-01-01,HRL
2015-01-01,HSP
2015-01-01,HST
2015-01-01,HSY
2015-01-01,HUM
2015-01-01,IBM
2015-01-01,ICE
2015-01-01,IFF
2015-01-01,INTC
2015-01-01,INTU
2015-01-01,IP
2015-01-01,IPG
2015-01-01,IRM
2015-01-01,ISRG
2015-01-01,ITW
2015-01-01,IVZ
2015-01-01,J
2015-01-01,JCI
2015-01-01,JEF
2015-01-01,JNJ
2015-01-01,JNPR
2015-01-01,JOY
2015-01-01,JPM
2015-01-01,JWN
2015-01-01,K
2015-01-01,KEY
2015-01-01,KIM
2015-01-01,KLAC
2015-01-01,KMB
2015-01-01,KMI
2015-01-01,KMX
2015-01-01,KO
2015-01-01,KR
2015-01-01,KRFT
2015-01-01,KSS
2015-01-01,KSU
2015-01-01,L
2015-01-01,LEG
2015-01-01,LEN
2015-01-01,LH
2015-01-01,LHX
2015-01-01,LIN
2015-01-01,LLL
2015-01-01,LLTC
2015-01-01,LLY
2015-01-01,LM
2015-01-01,LMT
2015-01-01,LNC
2015-01-01,LO
2015-01-01,LOW
2015-01-01,LRCX
2015-01-01,LUMN
2015-01-01,LUV
2015-01-01,LVLT
2015-01-01,LYB
